sampleid,uuid,fq1,fq2
IR72,63BA0270-000A-45D7-A1A1-A4B88AB6C107,example_data/IR72_1.fastq.gz,example_data/IR72_2.fastq.gz
GK124,63BA0270-000A-45D7-A1A1-A4B88AB6C108,example_data/GK124_1.fastq.gz,example_data/GK124_2.fastq.gz
